#V3.30.08.02-trans;_2017_09_26;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
#_user_support_available_at:NMFS.Stock.Synthesis@noaa.gov
#_user_info_available_at:https://vlab.ncep.noaa.gov/group/stock-synthesis
#_Start_time: Tue Sep 26 16:18:20 2017
#_Number_of_datafiles: 1
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version: 
#C file write time: 2015-04-27 21:23:15
#_observed data: 
#V3.30.08.02-trans;_2017_09_26;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
1876 #_StartYr
2014 #_EndYr
1 #_Nseas
 12 #_months/season
2 #_Nsubseasons (even number, minimum is 2)
1 #_spawn_month
2 #_Ngenders
40 #_Nages=accumulator age
1 #_Nareas
7 #_Nfleets (including surveys)
#_fleet_type: 1=catch fleet; 2=bycatch only fleet; 3=survey; 4=ignore 
#_survey_timing: -1=for use of catch-at-age to override the month value associated with a datum 
#_fleet_area:  area the fleet/survey operates in 
#_units of catch:  1=bio; 2=num (ignored for surveys; their units read later)
#_catch_mult: 0=no; 1=yes
#_rows are fleets
#_fleet_type timing area units need_catch_mult fleetname
 1 0.16 1 1 0 WinterN  # 1
 1 0.67 1 1 0 SummerN  # 2
 1 0.16 1 1 0 WinterS  # 3
 1 0.67 1 1 0 SummerS  # 4
 3 0.73 1 2 0 TriEarly  # 5
 3 0.67 1 2 0 TriLate  # 6
 3 0.67 1 2 0 NWFSC  # 7
#_Catch data: yr, seas, fleet, catch, catch_se
#_catch_se:  standard error of log(catch)
#_NOTE:  catch data is ignored for survey fleets
 2005 9.04 7 1 0 2 42 42 30 0 0 0 13.3333 36.6667 30 20 0 0 0 0 0 0 0 0 0 0 0 0 0 13.3333 36.6667 30 20 0 0 0 0 0 0 0 0 0 0
 2005 9.04 7 1 0 2 44 44 15 0 0 6.66667 0 20 33.3333 13.3333 20 6.66667 0 0 0 0 0 0 0 0 0 0 6.66667 0 20 33.3333 13.3333 20 6.66667 0 0 0 0 0 0 0 0
 2005 9.04 7 1 0 2 46 46 12 0 0 0 0 8.33333 25 16.6667 41.6667 8.33333 0 0 0 0 0 0 0 0 0 0 0 0 8.33333 25 16.6667 41.6667 8.33333 0 0 0 0 0 0 0 0
 2005 9.04 7 1 0 2 48 48 11 0 0 0 0 0 9.09091 36.3636 0 9.09091 18.1818 18.1818 9.09091 0 0 0 0 0 0 0 0 0 0 9.09091 36.3636 0 9.09091 18.1818 18.1818 9.09091 0 0 0 0 0
 2005 9.04 7 1 0 2 50 50 4 0 0 0 0 0 0 0 0 50 25 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 25 25 0 0 0 0 0 0
 2005 9.04 7 1 0 2 52 52 3 0 0 0 0 0 0 0 0 33.3333 0 0 0 0 33.3333 0 0 33.3333 0 0 0 0 0 0 0 0 33.3333 0 0 0 0 33.3333 0 0 33.3333
 2005 9.04 7 1 0 2 54 54 4 0 0 0 0 0 0 0 0 0 25 50 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 50 25 0 0 0 0 0
 2005 9.04 7 1 0 2 56 56 2 0 0 0 0 0 0 0 0 0 50 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 50 0 0 0 0 0 0
 2006 9.04 7 1 0 2 18 18 1 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2006 9.04 7 1 0 2 22 22 6 0 0 83.3333 16.6667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 83.3333 16.6667 0 0 0 0 0 0 0 0 0 0 0 0 0
 2006 9.04 7 1 0 2 24 24 10.6 0 9.43396 33.9623 47.1698 9.43396 0 0 0 0 0 0 0 0 0 0 0 0 0 9.43396 33.9623 47.1698 9.43396 0 0 0 0 0 0 0 0 0 0 0 0
 2006 9.04 7 1 0 2 26 26 18.6 0 0 51.6129 32.2581 5.37634 5.37634 5.37634 0 0 0 0 0 0 0 0 0 0 0 0 51.6129 32.2581 5.37634 5.37634 5.37634 0 0 0 0 0 0 0 0 0 0
 2006 9.04 7 1 0 2 28 28 12 0 0 0 50 33.3333 16.6667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 33.3333 16.6667 0 0 0 0 0 0 0 0 0 0 0
 2006 9.04 7 1 0 2 30 30 29 0 0 10.3448 31.0345 31.0345 27.5862 0 0 0 0 0 0 0 0 0 0 0 0 0 10.3448 31.0345 31.0345 27.5862 0 0 0 0 0 0 0 0 0 0 0
 2006 9.04 7 1 0 2 32 32 28 0 0 7.14286 17.8571 28.5714 32.1429 14.2857 0 0 0 0 0 0 0 0 0 0 0 0 7.14286 17.8571 28.5714 32.1429 14.2857 0 0 0 0 0 0 0 0 0 0
 2006 9.04 7 1 0 2 34 34 38 0 0 2.63158 5.26316 34.2105 34.2105 23.6842 0 0 0 0 0 0 0 0 0 0 0 0 2.63158 5.26316 34.2105 34.2105 23.6842 0 0 0 0 0 0 0 0 0 0
 2006 9.04 7 1 0 2 36 36 49 0 0 0 4.08163 24.4898 26.5306 30.6122 10.2041 4.08163 0 0 0 0 0 0 0 0 0 0 0 4.08163 24.4898 26.5306 30.6122 10.2041 4.08163 0 0 0 0 0 0 0 0
 2006 9.04 7 1 0 2 38 38 47 0 0 0 0 6.38298 27.6596 36.1702 14.8936 10.6383 2.12766 0 2.12766 0 0 0 0 0 0 0 0 0 6.38298 27.6596 36.1702 14.8936 10.6383 2.12766 0 2.12766 0 0 0 0 0
 2006 9.04 7 1 0 2 40 40 38 0 0 0 0 2.63158 21.0526 31.5789 18.4211 18.4211 5.26316 0 0 2.63158 0 0 0 0 0 0 0 0 2.63158 21.0526 31.5789 18.4211 18.4211 5.26316 0 0 2.63158 0 0 0 0
 2006 9.04 7 1 0 2 42 42 57 0 0 0 0 0 8.77193 19.2982 47.3684 14.0351 3.50877 3.50877 0 1.75439 0 0 1.75439 0 0 0 0 0 0 8.77193 19.2982 47.3684 14.0351 3.50877 3.50877 0 1.75439 0 0 1.75439 0
 2006 9.04 7 1 0 2 44 44 44 0 0 0 0 0 2.27273 27.2727 31.8182 18.1818 11.3636 4.54545 2.27273 0 2.27273 0 0 0 0 0 0 0 0 2.27273 27.2727 31.8182 18.1818 11.3636 4.54545 2.27273 0 2.27273 0 0 0
 2006 9.04 7 1 0 2 46 46 15 0 0 0 0 0 0 20 33.3333 13.3333 20 6.66667 0 0 6.66667 0 0 0 0 0 0 0 0 0 20 33.3333 13.3333 20 6.66667 0 0 6.66667 0 0 0
 2006 9.04 7 1 0 2 48 48 10 0 0 0 0 0 0 0 10 20 50 0 10 10 0 0 0 0 0 0 0 0 0 0 0 10 20 50 0 10 10 0 0 0 0
 2006 9.04 7 1 0 2 50 50 10 0 0 0 0 0 0 0 0 0 30 0 10 20 20 10 0 10 0 0 0 0 0 0 0 0 0 30 0 10 20 20 10 0 10
 2006 9.04 7 1 0 2 52 52 2 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 50 0
 2006 9.04 7 1 0 2 54 54 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33.3333 66.6667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33.3333 66.6667
 2006 9.04 7 1 0 2 56 56 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
 2007 9.04 7 1 0 2 20 20 1 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2007 9.04 7 1 0 2 24 24 5 0 40 20 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 40 20 20 20 0 0 0 0 0 0 0 0 0 0 0 0
 2007 9.04 7 1 0 2 26 26 8 0 0 25 25 37.5 0 12.5 0 0 0 0 0 0 0 0 0 0 0 0 25 25 37.5 0 12.5 0 0 0 0 0 0 0 0 0 0
 2007 9.04 7 1 0 2 28 28 10 0 0 0 0 80 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 80 20 0 0 0 0 0 0 0 0 0 0 0
 2007 9.04 7 1 0 2 30 30 20 0 0 10 10 45 15 5 15 0 0 0 0 0 0 0 0 0 0 0 10 10 45 15 5 15 0 0 0 0 0 0 0 0 0
 2007 9.04 7 1 0 2 32 32 26 0 0 0 15.3846 34.6154 30.7692 11.5385 7.69231 0 0 0 0 0 0 0 0 0 0 0 0 15.3846 34.6154 30.7692 11.5385 7.69231 0 0 0 0 0 0 0 0 0
 2007 9.04 7 1 0 2 34 34 40 0 0 0 7.5 22.5 32.5 22.5 12.5 0 2.5 0 0 0 0 0 0 0 0 0 0 7.5 22.5 32.5 22.5 12.5 0 2.5 0 0 0 0 0 0 0
 2007 9.04 7 1 0 2 36 36 37 0 0 0 5.40541 18.9189 27.027 24.3243 16.2162 2.7027 5.40541 0 0 0 0 0 0 0 0 0 0 5.40541 18.9189 27.027 24.3243 16.2162 2.7027 5.40541 0 0 0 0 0 0 0
 2007 9.04 7 1 0 2 38 38 40 0 0 0 0 10 15 30 32.5 10 2.5 0 0 0 0 0 0 0 0 0 0 0 10 15 30 32.5 10 2.5 0 0 0 0 0 0 0
 2007 9.04 7 1 0 2 40 40 50 0 0 0 0 4 10 36 26 12 8 2 0 0 2 0 0 0 0 0 0 0 4 10 36 26 12 8 2 0 0 2 0 0 0
 2007 9.04 7 1 0 2 42 42 51 0 0 0 0 0 7.84314 15.6863 21.5686 35.2941 17.6471 0 0 0 0 0 0 1.96078 0 0 0 0 0 7.84314 15.6863 21.5686 35.2941 17.6471 0 0 0 0 0 0 1.96078
 2007 9.04 7 1 0 2 44 44 32 0 0 0 0 0 0 18.75 21.875 40.625 15.625 0 0 0 3.125 0 0 0 0 0 0 0 0 0 18.75 21.875 40.625 15.625 0 0 0 3.125 0 0 0
 2007 9.04 7 1 0 2 46 46 25 0 0 0 0 0 4 8 24 40 12 4 4 4 0 0 0 0 0 0 0 0 0 4 8 24 40 12 4 4 4 0 0 0 0
 2007 9.04 7 1 0 2 48 48 14 0 0 0 0 0 7.14286 0 14.2857 21.4286 14.2857 21.4286 14.2857 0 0 0 7.14286 0 0 0 0 0 0 7.14286 0 14.2857 21.4286 14.2857 21.4286 14.2857 0 0 0 7.14286 0
 2007 9.04 7 1 0 2 50 50 13 0 0 0 0 0 0 0 0 0 23.0769 30.7692 23.0769 7.69231 0 0 15.3846 0 0 0 0 0 0 0 0 0 0 23.0769 30.7692 23.0769 7.69231 0 0 15.3846 0
 2007 9.04 7 1 0 2 52 52 7 0 0 0 0 0 0 0 0 0 28.5714 0 0 14.2857 0 14.2857 14.2857 28.5714 0 0 0 0 0 0 0 0 0 28.5714 0 0 14.2857 0 14.2857 14.2857 28.5714
 2007 9.04 7 1 0 2 56 56 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33.3333 66.6667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33.3333 66.6667
 2007 9.04 7 1 0 2 58 58 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
 2007 9.04 7 1 0 2 60 60 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
 2008 9.04 7 1 0 2 18 18 3 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2008 9.04 7 1 0 2 20 20 7.6 26.3158 60.5263 13.1579 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26.3158 60.5263 13.1579 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2008 9.04 7 1 0 2 22 22 7 0 28.5714 71.4286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28.5714 71.4286 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2008 9.04 7 1 0 2 24 24 15 0 6.66667 73.3333 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.66667 73.3333 20 0 0 0 0 0 0 0 0 0 0 0 0 0
 2008 9.04 7 1 0 2 26 26 21 0 9.52381 28.5714 42.8571 14.2857 4.7619 0 0 0 0 0 0 0 0 0 0 0 0 9.52381 28.5714 42.8571 14.2857 4.7619 0 0 0 0 0 0 0 0 0 0 0
 2008 9.04 7 1 0 2 28 28 22 0 9.09091 36.3636 45.4545 9.09091 0 0 0 0 0 0 0 0 0 0 0 0 0 9.09091 36.3636 45.4545 9.09091 0 0 0 0 0 0 0 0 0 0 0 0
 2008 9.04 7 1 0 2 30 30 33 0 0 15.1515 33.3333 27.2727 15.1515 9.09091 0 0 0 0 0 0 0 0 0 0 0 0 15.1515 33.3333 27.2727 15.1515 9.09091 0 0 0 0 0 0 0 0 0 0
 2008 9.04 7 1 0 2 32 32 27 0 0 11.1111 22.2222 29.6296 29.6296 3.7037 3.7037 0 0 0 0 0 0 0 0 0 0 0 11.1111 22.2222 29.6296 29.6296 3.7037 3.7037 0 0 0 0 0 0 0 0 0
 2008 9.04 7 1 0 2 34 34 36 0 0 2.77778 8.33333 50 22.2222 5.55556 8.33333 2.77778 0 0 0 0 0 0 0 0 0 0 2.77778 8.33333 50 22.2222 5.55556 8.33333 2.77778 0 0 0 0 0 0 0 0
 2008 9.04 7 1 0 2 36 36 43 0 0 0 16.2791 25.5814 27.907 13.9535 11.6279 4.65116 0 0 0 0 0 0 0 0 0 0 0 16.2791 25.5814 27.907 13.9535 11.6279 4.65116 0 0 0 0 0 0 0 0
 2008 9.04 7 1 0 2 38 38 32 0 3.125 0 0 34.375 25 25 6.25 6.25 0 0 0 0 0 0 0 0 0 3.125 0 0 34.375 25 25 6.25 6.25 0 0 0 0 0 0 0 0
 2008 9.04 7 1 0 2 40 40 35 0 0 0 0 17.1429 17.1429 25.7143 25.7143 11.4286 2.85714 0 0 0 0 0 0 0 0 0 0 0 17.1429 17.1429 25.7143 25.7143 11.4286 2.85714 0 0 0 0 0 0 0
 2008 9.04 7 1 0 2 42 42 35 0 0 0 0 0 0 31.4286 34.2857 14.2857 17.1429 2.85714 0 0 0 0 0 0 0 0 0 0 0 0 31.4286 34.2857 14.2857 17.1429 2.85714 0 0 0 0 0 0
 2008 9.04 7 1 0 2 44 44 28 0 0 0 0 0 7.14286 10.7143 32.1429 17.8571 25 3.57143 0 3.57143 0 0 0 0 0 0 0 0 0 7.14286 10.7143 32.1429 17.8571 25 3.57143 0 3.57143 0 0 0 0
 2008 9.04 7 1 0 2 46 46 20 0 0 0 0 0 0 15 25 30 15 15 0 0 0 0 0 0 0 0 0 0 0 0 15 25 30 15 15 0 0 0 0 0 0
 2008 9.04 7 1 0 2 48 48 14 0 0 0 0 0 0 0 14.2857 7.14286 35.7143 0 14.2857 7.14286 14.2857 7.14286 0 0 0 0 0 0 0 0 0 14.2857 7.14286 35.7143 0 14.2857 7.14286 14.2857 7.14286 0 0
 2008 9.04 7 1 0 2 50 50 11 0 0 0 0 0 0 0 18.1818 0 18.1818 27.2727 18.1818 0 0 18.1818 0 0 0 0 0 0 0 0 0 18.1818 0 18.1818 27.2727 18.1818 0 0 18.1818 0 0
 2008 9.04 7 1 0 2 52 52 6 0 0 0 0 0 0 0 0 0 0 83.3333 0 0 0 16.6667 0 0 0 0 0 0 0 0 0 0 0 0 83.3333 0 0 0 16.6667 0 0
 2008 9.04 7 1 0 2 54 54 4 0 0 0 0 0 0 0 0 0 0 0 25 50 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 50 25 0 0 0
 2009 9.04 7 1 0 2 16 16 1 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 18 18 9 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 20 20 16 0 75 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 75 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 22 22 15 0 26.6667 66.6667 6.66667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26.6667 66.6667 6.66667 0 0 0 0 0 0 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 24 24 14.6 0 27.3973 65.7534 6.84932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27.3973 65.7534 6.84932 0 0 0 0 0 0 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 26 26 20 0 0 70 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70 15 15 0 0 0 0 0 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 28 28 19 0 0 31.5789 52.6316 15.7895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31.5789 52.6316 15.7895 0 0 0 0 0 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 30 30 24 0 0 25 33.3333 33.3333 8.33333 0 0 0 0 0 0 0 0 0 0 0 0 0 25 33.3333 33.3333 8.33333 0 0 0 0 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 32 32 17 0 0 0 23.5294 41.1765 29.4118 5.88235 0 0 0 0 0 0 0 0 0 0 0 0 0 23.5294 41.1765 29.4118 5.88235 0 0 0 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 34 34 37.6 0 0 0 18.617 39.8936 26.5957 9.57447 0 5.31915 0 0 0 0 0 0 0 0 0 0 0 18.617 39.8936 26.5957 9.57447 0 5.31915 0 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 36 36 36 0 0 0 2.77778 22.2222 38.8889 25 8.33333 2.77778 0 0 0 0 0 0 0 0 0 0 0 2.77778 22.2222 38.8889 25 8.33333 2.77778 0 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 38 38 37 0 0 0 0 10.8108 40.5405 18.9189 13.5135 13.5135 2.7027 0 0 0 0 0 0 0 0 0 0 0 10.8108 40.5405 18.9189 13.5135 13.5135 2.7027 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 40 40 38 0 0 0 0 5.26316 39.4737 13.1579 13.1579 18.4211 10.5263 0 0 0 0 0 0 0 0 0 0 0 5.26316 39.4737 13.1579 13.1579 18.4211 10.5263 0 0 0 0 0 0 0
 2009 9.04 7 1 0 2 42 42 31 0 0 0 0 3.22581 19.3548 9.67742 12.9032 29.0323 22.5806 3.22581 0 0 0 0 0 0 0 0 0 0 3.22581 19.3548 9.67742 12.9032 29.0323 22.5806 3.22581 0 0 0 0 0 0
 2009 9.04 7 1 0 2 44 44 29 0 0 0 0 0 6.89655 20.6897 24.1379 17.2414 20.6897 10.3448 0 0 0 0 0 0 0 0 0 0 0 6.89655 20.6897 24.1379 17.2414 20.6897 10.3448 0 0 0 0 0 0
 2009 9.04 7 1 0 2 46 46 26 0 0 0 0 0 3.84615 3.84615 3.84615 26.9231 30.7692 23.0769 3.84615 0 3.84615 0 0 0 0 0 0 0 0 3.84615 3.84615 3.84615 26.9231 30.7692 23.0769 3.84615 0 3.84615 0 0 0
 2009 9.04 7 1 0 2 48 48 15 0 0 0 0 0 0 0 6.66667 0 13.3333 26.6667 33.3333 13.3333 0 6.66667 0 0 0 0 0 0 0 0 0 6.66667 0 13.3333 26.6667 33.3333 13.3333 0 6.66667 0 0
 2009 9.04 7 1 0 2 50 50 9 0 0 0 0 0 0 0 0 11.1111 22.2222 44.4444 11.1111 11.1111 0 0 0 0 0 0 0 0 0 0 0 0 11.1111 22.2222 44.4444 11.1111 11.1111 0 0 0 0
 2009 9.04 7 1 0 2 52 52 6 0 0 0 0 0 0 0 0 0 50 16.6667 0 16.6667 16.6667 0 0 0 0 0 0 0 0 0 0 0 0 50 16.6667 0 16.6667 16.6667 0 0 0
 2009 9.04 7 1 0 2 54 54 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
 2010 9.04 7 1 0 2 16 16 1 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2010 9.04 7 1 0 2 18 18 3 33.3333 66.6667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33.3333 66.6667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2010 9.04 7 1 0 2 20 20 17 0 52.9412 47.0588 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52.9412 47.0588 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2010 9.04 7 1 0 2 22 22 19 5.26316 31.5789 57.8947 5.26316 0 0 0 0 0 0 0 0 0 0 0 0 0 5.26316 31.5789 57.8947 5.26316 0 0 0 0 0 0 0 0 0 0 0 0 0
 2010 9.04 7 1 0 2 24 24 30 0 26.6667 50 20 3.33333 0 0 0 0 0 0 0 0 0 0 0 0 0 26.6667 50 20 3.33333 0 0 0 0 0 0 0 0 0 0 0 0
 2010 9.04 7 1 0 2 26 26 29 0 13.7931 34.4828 44.8276 3.44828 3.44828 0 0 0 0 0 0 0 0 0 0 0 0 13.7931 34.4828 44.8276 3.44828 3.44828 0 0 0 0 0 0 0 0 0 0 0
 2010 9.04 7 1 0 2 28 28 33 0 6.06061 42.4242 39.3939 12.1212 0 0 0 0 0 0 0 0 0 0 0 0 0 6.06061 42.4242 39.3939 12.1212 0 0 0 0 0 0 0 0 0 0 0 0
 2010 9.04 7 1 0 2 30 30 24 0 0 20.8333 41.6667 16.6667 12.5 4.16667 0 0 0 4.16667 0 0 0 0 0 0 0 0 20.8333 41.6667 16.6667 12.5 4.16667 0 0 0 4.16667 0 0 0 0 0 0
 2010 9.04 7 1 0 2 32 32 34 0 0 17.6471 32.3529 35.2941 11.7647 2.94118 0 0 0 0 0 0 0 0 0 0 0 0 17.6471 32.3529 35.2941 11.7647 2.94118 0 0 0 0 0 0 0 0 0 0
 2010 9.04 7 1 0 2 34 34 35 0 0 11.4286 22.8571 34.2857 17.1429 11.4286 2.85714 0 0 0 0 0 0 0 0 0 0 0 11.4286 22.8571 34.2857 17.1429 11.4286 2.85714 0 0 0 0 0 0 0 0 0
 2010 9.04 7 1 0 2 36 36 44 0 0 2.27273 11.3636 27.2727 43.1818 11.3636 0 2.27273 0 2.27273 0 0 0 0 0 0 0 0 2.27273 11.3636 27.2727 43.1818 11.3636 0 2.27273 0 2.27273 0 0 0 0 0 0
 2010 9.04 7 1 0 2 38 38 30 0 0 0 6.66667 16.6667 56.6667 10 6.66667 0 0 0 0 3.33333 0 0 0 0 0 0 0 6.66667 16.6667 56.6667 10 6.66667 0 0 0 0 3.33333 0 0 0 0
 2010 9.04 7 1 0 2 40 40 29 0 0 0 0 3.44828 24.1379 41.3793 17.2414 13.7931 0 0 0 0 0 0 0 0 0 0 0 0 3.44828 24.1379 41.3793 17.2414 13.7931 0 0 0 0 0 0 0 0
 2010 9.04 7 1 0 2 42 42 11 0 0 0 0 0 45.4545 27.2727 9.09091 18.1818 0 0 0 0 0 0 0 0 0 0 0 0 0 45.4545 27.2727 9.09091 18.1818 0 0 0 0 0 0 0 0
 2010 9.04 7 1 0 2 44 44 20 0 0 0 0 5 5 15 25 15 25 5 5 0 0 0 0 0 0 0 0 0 5 5 15 25 15 25 5 5 0 0 0 0 0
 2010 9.04 7 1 0 2 46 46 13 0 0 0 0 0 0 7.69231 7.69231 38.4615 23.0769 23.0769 0 0 0 0 0 0 0 0 0 0 0 0 7.69231 7.69231 38.4615 23.0769 23.0769 0 0 0 0 0 0
 2010 9.04 7 1 0 2 48 48 17 0 0 0 0 0 0 0 0 11.7647 35.2941 29.4118 5.88235 5.88235 5.88235 5.88235 0 0 0 0 0 0 0 0 0 0 11.7647 35.2941 29.4118 5.88235 5.88235 5.88235 5.88235 0 0
 2010 9.04 7 1 0 2 50 50 3 0 0 0 0 0 0 33.3333 0 0 0 33.3333 0 33.3333 0 0 0 0 0 0 0 0 0 0 33.3333 0 0 0 33.3333 0 33.3333 0 0 0 0
 2010 9.04 7 1 0 2 52 52 1 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0
 2010 9.04 7 1 0 2 54 54 2 0 0 0 0 0 0 0 0 0 50 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 50 0 0 0
 2010 9.04 7 1 0 2 56 56 1 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0
 2011 9.04 7 1 0 2 18 18 1 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2011 9.04 7 1 0 2 20 20 10.6 0 43.3962 56.6038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43.3962 56.6038 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2011 9.04 7 1 0 2 22 22 19 0 36.8421 42.1053 21.0526 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36.8421 42.1053 21.0526 0 0 0 0 0 0 0 0 0 0 0 0 0
 2011 9.04 7 1 0 2 24 24 14 0 7.14286 64.2857 14.2857 14.2857 0 0 0 0 0 0 0 0 0 0 0 0 0 7.14286 64.2857 14.2857 14.2857 0 0 0 0 0 0 0 0 0 0 0 0
 2011 9.04 7 1 0 2 26 26 34 0 5.88235 38.2353 38.2353 17.6471 0 0 0 0 0 0 0 0 0 0 0 0 0 5.88235 38.2353 38.2353 17.6471 0 0 0 0 0 0 0 0 0 0 0 0
 2011 9.04 7 1 0 2 28 28 32 0 3.125 43.75 31.25 21.875 0 0 0 0 0 0 0 0 0 0 0 0 0 3.125 43.75 31.25 21.875 0 0 0 0 0 0 0 0 0 0 0 0
 2011 9.04 7 1 0 2 30 30 45 0 0 22.2222 35.5556 31.1111 11.1111 0 0 0 0 0 0 0 0 0 0 0 0 0 22.2222 35.5556 31.1111 11.1111 0 0 0 0 0 0 0 0 0 0 0
 2011 9.04 7 1 0 2 32 32 45 0 0 13.3333 37.7778 35.5556 4.44444 8.88889 0 0 0 0 0 0 0 0 0 0 0 0 13.3333 37.7778 35.5556 4.44444 8.88889 0 0 0 0 0 0 0 0 0 0
 2011 9.04 7 1 0 2 34 34 31 0 0 9.67742 12.9032 51.6129 22.5806 0 3.22581 0 0 0 0 0 0 0 0 0 0 0 9.67742 12.9032 51.6129 22.5806 0 3.22581 0 0 0 0 0 0 0 0 0
 2011 9.04 7 1 0 2 36 36 37 0 0 0 13.5135 43.2432 16.2162 18.9189 8.10811 0 0 0 0 0 0 0 0 0 0 0 0 13.5135 43.2432 16.2162 18.9189 8.10811 0 0 0 0 0 0 0 0 0
 2011 9.04 7 1 0 2 38 38 26 0 0 0 3.84615 23.0769 19.2308 30.7692 11.5385 3.84615 0 3.84615 0 3.84615 0 0 0 0 0 0 0 3.84615 23.0769 19.2308 30.7692 11.5385 3.84615 0 3.84615 0 3.84615 0 0 0 0
 2011 9.04 7 1 0 2 40 40 24 0 0 0 0 8.33333 20.8333 29.1667 25 12.5 4.16667 0 0 0 0 0 0 0 0 0 0 0 8.33333 20.8333 29.1667 25 12.5 4.16667 0 0 0 0 0 0 0
 2011 9.04 7 1 0 2 42 42 32 0 0 0 0 3.125 6.25 28.125 40.625 9.375 12.5 0 0 0 0 0 0 0 0 0 0 0 3.125 6.25 28.125 40.625 9.375 12.5 0 0 0 0 0 0 0
